,K,n,s,exp,det,rot,roc,cen
0,421.1726949,-1.814280854,-0.31730585,모든 화약,모든 뇌관,변성암,섬록암,라인 드릴링
0,671.7279033,-2.008325354,-0.603890711,모든 화약,모든 뇌관,변성암,섬록암,분착식 다단발파
0,666.0361928,-1.866193378,-0.132396096,모든 화약,모든 뇌관,변성암,섬록암,선대구경
0,537.521353,-1.448179447,0.173024806,모든 화약,모든 뇌관,변성암,섬록암,수직구
0,-826.7827138,0.041514179,0.15090355,모든 화약,모든 뇌관,변성암,셰일,모든 심발
0,-838.8319753,0.670038836,0.034414691,모든 화약,모든 뇌관,변성암,셰일,Cylinder-cut
0,-662.0563219,0.454465419,0.025095004,모든 화약,모든 뇌관,변성암,셰일,TBM 선굴착
0,-263.1856716,-0.401286327,-0.071604203,모든 화약,모든 뇌관,변성암,셰일,V-CUT
0,162.1984994,-1.508068403,-0.492693593,모든 화약,모든 뇌관,변성암,셰일,라인 드릴링
0,482.8192793,-1.873658635,-0.644390076,모든 화약,모든 뇌관,변성암,셰일,분착식 다단발파
0,603.9131183,-1.920265253,-0.348158293,모든 화약,모든 뇌관,변성암,셰일,선대구경
0,510.1351701,-1.352154211,0.069653156,모든 화약,모든 뇌관,변성암,셰일,수직구
0,-857.3255562,0.074657714,0.216787649,모든 화약,모든 뇌관,변성암,안산암,모든 심발
0,-861.4019848,0.523650129,-0.108336909,모든 화약,모든 뇌관,변성암,안산암,Cylinder-cut
0,-839.9455179,0.678211325,-0.047683888,모든 화약,모든 뇌관,변성암,안산암,TBM 선굴착
0,-555.4609115,-0.075199122,-0.340341462,모든 화약,모든 뇌관,변성암,안산암,V-CUT
0,-172.1540565,-1.305841481,-0.71960691,모든 화약,모든 뇌관,변성암,안산암,라인 드릴링
0,112.6193209,-1.75222516,-0.823465763,모든 화약,모든 뇌관,변성암,안산암,분착식 다단발파
0,379.0849106,-2.079211422,-0.664154555,모든 화약,모든 뇌관,변성암,안산암,선대구경
0,325.1633856,-1.37873775,-0.093102158,모든 화약,모든 뇌관,변성암,안산암,수직구
0,-845.4570565,0.430664043,0.535055752,모든 화약,모든 뇌관,변성암,응회암,모든 심발
0,-861.6745282,0.50223285,0.114844905,모든 화약,모든 뇌관,변성암,응회암,Cylinder-cut
0,-770.5668339,0.586592006,0.025948633,모든 화약,모든 뇌관,변성암,응회암,TBM 선굴착
0,-575.88913,-0.035672748,-0.318824193,모든 화약,모든 뇌관,변성암,응회암,V-CUT
0,-321.5531475,-1.109287189,-0.852121778,모든 화약,모든 뇌관,변성암,응회암,라인 드릴링
0,-39.91470964,-1.79442604,-1.129892149,모든 화약,모든 뇌관,변성암,응회암,분착식 다단발파
0,191.1188722,-1.926974865,-0.892640019,모든 화약,모든 뇌관,변성암,응회암,선대구경
0,251.7988012,-1.675793413,-0.533150586,모든 화약,모든 뇌관,변성암,응회암,수직구
0,-830.8281063,0.620715288,0.861116743,모든 화약,모든 뇌관,변성암,편마암,모든 심발
0,-811.1952544,0.70424876,0.590033147,모든 화약,모든 뇌관,변성암,편마암,Cylinder-cut
0,-720.9859874,0.820522107,0.456073419,모든 화약,모든 뇌관,변성암,편마암,TBM 선굴착
0,-564.0479805,0.089351038,-0.133267571,모든 화약,모든 뇌관,변성암,편마암,V-CUT
0,-334.4937222,-0.978775677,-0.815953597,모든 화약,모든 뇌관,변성암,편마암,라인 드릴링
0,-58.77514037,-1.678376328,-1.235661618,모든 화약,모든 뇌관,변성암,편마암,분착식 다단발파
0,65.4462478,-1.706975735,-1.144092107,모든 화약,모든 뇌관,변성암,편마암,선대구경
0,176.1762428,-1.846497325,-0.906183989,모든 화약,모든 뇌관,변성암,편마암,수직구
0,-770.9807725,0.585611399,0.887167389,모든 화약,모든 뇌관,변성암,편암,모든 심발
0,-745.9852967,0.821772969,0.924867422,모든 화약,모든 뇌관,변성암,편암,Cylinder-cut
0,-683.0991451,0.969862963,0.812767888,모든 화약,모든 뇌관,변성암,편암,TBM 선굴착
0,-558.8051518,0.289891017,0.237609889,모든 화약,모든 뇌관,변성암,편암,V-CUT
0,-345.7333891,-0.553668986,-0.46124711,모든 화약,모든 뇌관,변성암,편암,라인 드릴링
0,-125.6804585,-1.439086742,-1.125235177,모든 화약,모든 뇌관,변성암,편암,분착식 다단발파
0,40.90432593,-1.630249848,-1.147535677,모든 화약,모든 뇌관,변성암,편암,선대구경
0,176.344251,-1.76452119,-0.881799566,모든 화약,모든 뇌관,변성암,편암,수직구
0,-648.192513,0.572869822,1.149789408,모든 화약,모든 뇌관,변성암,화강반암,모든 심발
0,-658.679055,0.774007834,1.135600139,모든 화약,모든 뇌관,변성암,화강반암,Cylinder-cut
0,-638.3458618,1.039585314,1.060732294,모든 화약,모든 뇌관,변성암,화강반암,TBM 선굴착
0,-507.7106835,0.485329575,0.574567702,모든 화약,모든 뇌관,변성암,화강반암,V-CUT
0,-363.9104895,-0.027201745,-0.005188032,모든 화약,모든 뇌관,변성암,화강반암,라인 드릴링
0,-157.3806149,-1.061858008,-0.763709793,모든 화약,모든 뇌관,변성암,화강반암,분착식 다단발파
0,62.88621469,-1.752181839,-1.096785806,모든 화약,모든 뇌관,변성암,화강반암,선대구경
0,220.2491261,-1.704407236,-0.833078308,모든 화약,모든 뇌관,변성암,화강반암,수직구
0,-539.5975176,0.604668681,1.42938565,모든 화약,모든 뇌관,변성암,화강암,모든 심발
0,-556.7671586,0.809946013,1.478930857,모든 화약,모든 뇌관,변성암,화강암,Cylinder-cut
0,-539.2793415,0.925587618,1.175756411,모든 화약,모든 뇌관,변성암,화강암,TBM 선굴착
0,-471.7337087,0.803450712,0.754618165,모든 화약,모든 뇌관,변성암,화강암,V-CUT
0,-365.5707775,0.371573444,0.27695201,모든 화약,모든 뇌관,변성암,화강암,라인 드릴링
0,-212.9947173,-0.576789417,-0.414757124,모든 화약,모든 뇌관,변성암,화강암,분착식 다단발파
0,37.83450887,-1.435840383,-0.814423951,모든 화약,모든 뇌관,변성암,화강암,선대구경
0,182.2046885,-1.684560635,-0.781968675,모든 화약,모든 뇌관,변성암,화강암,수직구
0,117.937556,-1.702184733,0.108841942,모든 화약,모든 뇌관,퇴적암,모든 암종,모든 심발
0,92.71000005,-1.770889683,0.128095005,모든 화약,모든 뇌관,퇴적암,모든 암종,Cylinder-cut
0,53.14876144,-1.405364396,0.517520976,모든 화약,모든 뇌관,퇴적암,모든 암종,TBM 선굴착
0,107.7057724,-1.68435199,0.09005621,모든 화약,모든 뇌관,퇴적암,모든 암종,V-CUT
0,148.2753643,-1.746569673,0.176852781,모든 화약,모든 뇌관,퇴적암,모든 암종,라인 드릴링
0,130.2118021,-1.676848397,0.11604378,모든 화약,모든 뇌관,퇴적암,모든 암종,분착식 다단발파
0,98.79069493,-1.644488085,0.185280067,모든 화약,모든 뇌관,퇴적암,모든 암종,선대구경
0,5.126008493,-1.10403859,0.350999956,모든 화약,모든 뇌관,퇴적암,모든 암종,수직구
0,-45.06273422,-0.989774224,0.105974173,모든 화약,모든 뇌관,퇴적암,규장암,모든 심발
0,-5.082977182,-1.553153939,-0.118176076,모든 화약,모든 뇌관,퇴적암,규장암,Cylinder-cut
0,75.97038706,-1.148883852,0.288725312,모든 화약,모든 뇌관,퇴적암,규장암,TBM 선굴착
0,168.0132674,-1.063869284,0.133721515,모든 화약,모든 뇌관,퇴적암,규장암,V-CUT
0,301.4542893,-1.530617698,-0.006158164,모든 화약,모든 뇌관,퇴적암,규장암,라인 드릴링
0,368.8210034,-1.61469957,-0.001325658,모든 화약,모든 뇌관,퇴적암,규장암,분착식 다단발파
0,311.5703508,-1.48490881,0.12621444,모든 화약,모든 뇌관,퇴적암,규장암,선대구경
0,193.8014373,-0.9457469,0.372606191,모든 화약,모든 뇌관,퇴적암,규장암,수직구
