,File Name,K,n,s,# of elem
810,tun_0_a_a_8_2.csv,87.53375817751322,-1.6181384756776562,0.2827644626681897,79
815,tun_0_a_a_8_a.csv,87.53375817751322,-1.6181384756776562,0.2827644626681897,79
816,tun_0_a_a_9_0.csv,41.72032130448102,-1.4661064998295532,0.21969650811677485,18
823,tun_0_a_a_9_a.csv,41.72032130448102,-1.4661064998295532,0.21969650811677485,18
824,tun_0_a_a_a_0.csv,40.40220563762512,-1.4373131099025154,0.3327753380832505,811
825,tun_0_a_a_a_1.csv,4.055195058714264,-0.7406635626491397,0.9880178725085688,59
826,tun_0_a_a_a_2.csv,39.29724014984412,-1.4237126545500247,0.37307903004659726,1232
827,tun_0_a_a_a_3.csv,70.74840301786895,-1.4249233601371945,0.467735744207874,24
828,tun_0_a_a_a_4.csv,131.21120004445015,-1.6781933912271314,0.30566825286718446,80
829,tun_0_a_a_a_5.csv,90.81107888293498,-1.5578332494893516,0.332784807906229,387
830,tun_0_a_a_a_6.csv,1.2166256994925708,-0.48705405818911623,0.6149343828466403,135
831,tun_0_a_a_a_a.csv,39.13970357238943,-1.4163105136839491,0.3848187065928646,2728
832,tun_1_0_0_7_0.csv,124.67427588897687,-1.7378484566790187,0.08988796449000461,6
834,tun_1_0_0_7_2.csv,31.641067646857106,-1.3216544410658417,0.22780838855176827,6
839,tun_1_0_0_7_a.csv,119.74442598470425,-1.6932318337114631,0.18712797622049876,12
848,tun_1_0_0_a_0.csv,124.67427588897687,-1.7378484566790187,0.08988796449000461,6
850,tun_1_0_0_a_2.csv,31.641067646857106,-1.3216544410658417,0.22780838855176827,6
855,tun_1_0_0_a_a.csv,119.74442598470425,-1.6932318337114631,0.18712797622049876,12
904,tun_1_0_2_10_0.csv,449.41135901994164,-2.130847631809177,0.044778174398180604,8
909,tun_1_0_2_10_5.csv,17.16523341949502,-1.3882370730220601,0.1957586447194961,11
911,tun_1_0_2_10_a.csv,82.22994353402208,-1.7309798119828244,0.18630663168022082,19
936,tun_1_0_2_a_0.csv,449.41135901994164,-2.130847631809177,0.044778174398180604,8
941,tun_1_0_2_a_5.csv,17.16523341949502,-1.3882370730220601,0.1957586447194961,11
943,tun_1_0_2_a_a.csv,82.22994353402208,-1.7309798119828244,0.18630663168022082,19
952,tun_1_0_a_10_0.csv,449.41135901994164,-2.130847631809177,0.044778174398180604,8
957,tun_1_0_a_10_5.csv,17.16523341949502,-1.3882370730220601,0.1957586447194961,11
959,tun_1_0_a_10_a.csv,82.22994353402208,-1.7309798119828244,0.18630663168022082,19
1008,tun_1_0_a_7_0.csv,124.67427588897687,-1.7378484566790187,0.08988796449000461,6
1010,tun_1_0_a_7_2.csv,31.641067646857106,-1.3216544410658417,0.22780838855176827,6
1015,tun_1_0_a_7_a.csv,119.74442598470425,-1.6932318337114631,0.18712797622049876,12
1032,tun_1_0_a_a_0.csv,131.4710668861449,-1.778446436556873,0.11236246148074583,14
1034,tun_1_0_a_a_2.csv,31.641067646857106,-1.3216544410658417,0.22780838855176827,6
1037,tun_1_0_a_a_5.csv,17.16523341949502,-1.3882370730220601,0.1957586447194961,11
1039,tun_1_0_a_a_a.csv,59.727242503279236,-1.6030913173867078,0.23709136521379404,31
1114,tun_1_1_2_10_2.csv,3.3892762702149475,-0.9222588191081093,0.40635190601091575,9
1119,tun_1_1_2_10_a.csv,3.3892762702149475,-0.9222588191081093,0.40635190601091575,9
1146,tun_1_1_2_a_2.csv,3.3892762702149475,-0.9222588191081093,0.40635190601091575,9
1147,tun_1_1_2_a_3.csv,60.276245778919304,-1.4081627362165703,0.4290867653227204,8
1151,tun_1_1_2_a_a.csv,6.878195934294772,-1.005056773307773,0.5508805601463997,17
1162,tun_1_1_a_10_2.csv,3.3892762702149475,-0.9222588191081093,0.40635190601091575,9
1167,tun_1_1_a_10_a.csv,3.3892762702149475,-0.9222588191081093,0.40635190601091575,9
1242,tun_1_1_a_a_2.csv,3.3892762702149475,-0.9222588191081093,0.40635190601091575,9
1243,tun_1_1_a_a_3.csv,60.276245778919304,-1.4081627362165703,0.4290867653227204,8
1247,tun_1_1_a_a_a.csv,6.878195934294772,-1.005056773307773,0.5508805601463997,17
1280,tun_1_2_1_2_0.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1287,tun_1_2_1_2_a.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1304,tun_1_2_1_a_0.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1311,tun_1_2_1_a_a.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1320,tun_1_2_2_10_0.csv,136.24713124196478,-1.7188102573656134,0.3239242423932065,83
1322,tun_1_2_2_10_2.csv,16.42023587358397,-1.276771488694568,0.20288640063341634,5
1325,tun_1_2_2_10_5.csv,47.091174560802045,-1.4639237483921563,0.3844394716024968,23
1327,tun_1_2_2_10_a.csv,79.7127970003276,-1.6024188589949937,0.3446434838069335,111
1328,tun_1_2_2_3_0.csv,27.541237493550803,-1.3602568028670101,0.1665732303219556,8
1335,tun_1_2_2_3_a.csv,27.541237493550803,-1.3602568028670101,0.1665732303219556,8
1336,tun_1_2_2_5_0.csv,2.9015165427645715,-0.8891824433330874,0.21166532645567557,13
1343,tun_1_2_2_5_a.csv,2.9015165427645715,-0.8891824433330874,0.21166532645567557,13
1344,tun_1_2_2_9_0.csv,47.36980153554844,-1.4500946613649794,0.22545831304928157,6
1351,tun_1_2_2_9_a.csv,47.36980153554844,-1.4500946613649794,0.22545831304928157,6
1352,tun_1_2_2_a_0.csv,65.25019315908901,-1.5413871249491118,0.3215409037773308,138
1354,tun_1_2_2_a_2.csv,16.42023587358397,-1.276771488694568,0.20288640063341634,5
1357,tun_1_2_2_a_5.csv,47.091174560802045,-1.4639237483921563,0.3844394716024968,23
1359,tun_1_2_2_a_a.csv,56.27148431668582,-1.5107985973673568,0.33144610611505637,166
1368,tun_1_2_a_10_0.csv,136.24713124196478,-1.7188102573656134,0.3239242423932065,83
1370,tun_1_2_a_10_2.csv,16.42023587358397,-1.276771488694568,0.20288640063341634,5
1373,tun_1_2_a_10_5.csv,47.091174560802045,-1.4639237483921563,0.3844394716024968,23
1375,tun_1_2_a_10_a.csv,79.7127970003276,-1.6024188589949937,0.3446434838069335,111
1384,tun_1_2_a_2_0.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
