뇌관,암종,SR SD,CR SD,최대입자속도
비전기,편마암,93.43,124.51,0.038
비전기,편마암,100.4,133.8,0.021
비전기,편마암,99.69,132.84,0.032
비전기,편마암,99.39,132.45,0.027000000000000003
비전기,편마암,100.07,133.35,0.021
비전기,편마암,100.32,133.69,0.013999999999999999
비전기,편마암,107.97,143.88,0.023
비전기,편마암,108.01,143.93,0.019
비전기,편마암,107.84,143.71,0.017
비전기,편마암,107.21,142.86,0.025
비전기,편마암,107.55,143.32,0.022000000000000002
비전기,편마암,118.7,121.05,0.031
비전기,편마암,134.81,131.84,0.038
비전기,편마암,132.56,129.64,0.043
비전기,편마암,132.35,129.43,0.037000000000000005
비전기,편마암,130.85,127.97,0.049
비전기,편마암,112.25,109.78,0.059000000000000004
비전기,편마암,111.18,108.73,0.045
비전기,편마암,109.04,106.64,0.057999999999999996
비전기,편마암,109.58,107.17,0.067
비전기,편마암,107.87,105.49,0.057
비전기,편마암,128.39,125.57,0.039
비전기,편마암,126.68,123.89,0.04
비전기,편마암,127.0,124.21,0.051
비전기,편마암,124.01,121.28,0.048
비전기,편마암,125.08,122.33,0.037000000000000005
비전기,편마암,154.26,150.87,0.02
비전기,편마암,153.3,149.93,0.03
비전기,편마암,153.3,149.93,0.021
비전기,편마암,153.19,149.82,0.027000000000000003
비전기,편마암,162.0,154.42,0.022000000000000002
비전기,편마암,87.78,89.52,0.065
비전기,편마암,99.21,97.02,0.055999999999999994
비전기,편마암,96.21,94.1,0.064
비전기,편마암,95.15,93.05,0.055
비전기,편마암,97.07,94.93,0.06
비전기,편마암,51.95,52.98,0.11800000000000001
비전기,편마암,59.23,57.92,0.09300000000000001
비전기,편마암,57.62,56.35,0.114
비전기,편마암,56.98,55.73,0.10099999999999999
비전기,편마암,59.7,56.9,0.091
비전기,편마암,69.96,71.34,0.10800000000000001
비전기,편마암,79.54,77.79,0.076
비전기,편마암,79.43,77.68,0.079
비전기,편마암,76.86,75.17,0.121
비전기,편마암,81.87,78.04,0.067
비전기,편마암,72.88,74.32,0.067
비전기,편마암,81.57,79.77,0.064
비전기,편마암,82.1,80.3,0.066
비전기,편마암,79.43,77.68,0.086
비전기,편마암,81.03,79.25,0.065
비전기,편마암,79.38,80.96,0.061
비전기,편마암,90.12,88.14,0.057999999999999996
비전기,편마암,89.16,87.2,0.075
비전기,편마암,87.55,85.63,0.059000000000000004
비전기,편마암,86.06,84.16,0.061
비전기,편마암,31.5,31.5,0.305
비전기,편마암,28.89,29.98,0.27899999999999997
비전기,편마암,30.68,31.84,0.195
비전기,편마암,29.96,31.1,0.22899999999999998
비전기,편마암,28.0,29.06,0.439
비전기,편마암,33.5,33.5,0.2
비전기,편마암,60.4,60.4,0.064
비전기,편마암,55.1,57.18,0.067
비전기,편마암,56.08,58.21,0.057
비전기,편마암,54.2,56.26,0.098
비전기,편마암,63.9,63.9,0.054000000000000006
비전기,편마암,62.2,62.2,0.057999999999999996
비전기,편마암,90.1,90.1,0.024
비전기,편마암,80.05,83.08,0.037000000000000005
비전기,편마암,80.95,84.01,0.026000000000000002
비전기,편마암,81.84,84.94,0.024
비전기,편마암,82.73,85.87,0.022000000000000002
비전기,편마암,91.7,91.7,0.025
비전기,편마암,119.9,119.9,0.012
비전기,편마암,107.69,111.77,0.013000000000000001
비전기,편마암,106.79,110.84,0.019
비전기,편마암,120.1,120.1,0.012
비전기,편마암,122.0,122.0,0.008
비전기,편마암,121.5,121.5,0.011000000000000001
비전기,편마암,149.7,149.7,0.012
비전기,편마암,133.63,138.69,0.013999999999999999
비전기,편마암,135.24,140.36,0.008
비전기,편마암,134.43,139.53,0.013000000000000001
비전기,편마암,149.9,149.9,0.013999999999999999
비전기,편마암,151.3,151.3,0.011000000000000001
비전기,편마암,273.0,253.43,0.009000000000000001
비전기,편마암,273.0,253.43,0.016
비전기,편마암,272.88,253.31,0.011000000000000001
비전기,편마암,272.88,253.31,0.017
비전기,편마암,272.88,253.31,0.013999999999999999
비전기,편마암,59.38,55.12,0.147
비전기,편마암,68.56,60.67,0.134
비전기,편마암,68.7,60.79,0.12
비전기,편마암,68.7,60.79,0.134
비전기,편마암,59.38,55.12,0.16899999999999998
비전기,편마암,87.88,81.58,0.081
비전기,편마암,87.88,81.58,0.09699999999999999
비전기,편마암,101.47,89.79,0.086
비전기,편마암,101.47,89.79,0.1
비전기,편마암,87.88,81.58,0.146
비전기,편마암,117.88,109.43,0.063
비전기,편마암,117.88,109.43,0.07
비전기,편마암,136.11,120.44,0.067
비전기,편마암,136.11,120.44,0.085
비전기,편마암,136.11,120.44,0.066
비전기,편마암,142.13,131.94,0.038
비전기,편마암,164.11,145.22,0.031
비전기,편마암,164.11,145.22,0.035
비전기,편마암,164.11,145.22,0.039
비전기,편마암,164.11,145.22,0.037000000000000005
비전기,편마암,166.63,154.68,0.03
비전기,편마암,192.4,170.25,0.025
비전기,편마암,192.4,170.25,0.027000000000000003
비전기,편마암,192.4,170.25,0.027000000000000003
비전기,편마암,166.63,154.68,0.027999999999999997
비전기,편마암,47.47,64.69,0.11800000000000001
비전기,편마암,40.07,57.79,0.122
비전기,편마암,40.07,57.79,0.131
비전기,편마암,40.03,57.74,0.258
비전기,편마암,47.43,64.63,0.122
비전기,편마암,59.29,80.79,0.10099999999999999
비전기,편마암,59.29,80.79,0.109
비전기,편마암,50.0,72.11,0.17600000000000002
비전기,편마암,50.0,72.11,0.209
비전기,편마암,59.29,80.79,0.13699999999999998
비전기,편마암,111.8,135.72,0.039
비전기,편마암,79.06,107.72,0.067
비전기,편마암,66.67,96.15,0.105
비전기,편마암,66.67,96.15,0.075
비전기,편마암,79.06,107.72,0.096
비전기,편마암,88.94,121.19,0.036000000000000004
비전기,편마암,75.0,108.17,0.061
비전기,편마암,88.94,121.19,0.04
비전기,편마암,88.94,121.19,0.054000000000000006
비전기,편마암,88.94,121.19,0.042
비전기,편마암,98.82,134.65,0.02
비전기,편마암,98.82,134.65,0.021
비전기,편마암,83.33,120.19,0.076
비전기,편마암,98.82,134.65,0.054000000000000006
비전기,편마암,98.82,134.65,0.043
비전기,편마암,118.59,161.58,0.022000000000000002
비전기,편마암,100.0,144.22,0.054000000000000006
비전기,편마암,100.0,144.22,0.045
비전기,편마암,118.59,161.58,0.033
비전기,편마암,118.59,161.58,0.039
비전기,편마암,73.54,52.0,0.111
비전기,편마암,70.71,50.0,0.076
비전기,편마암,67.88,48.0,0.025
비전기,편마암,65.05,46.0,0.114
비전기,편마암,76.37,54.0,0.059000000000000004
비전기,편마암,84.85,60.0,0.055999999999999994
비전기,편마암,82.02,58.0,0.046
비전기,편마암,79.2,56.0,0.013999999999999999
비전기,편마암,76.37,54.0,0.049
비전기,편마암,87.68,62.0,0.049
비전기,편마암,113.14,80.0,0.040999999999999995
비전기,편마암,110.31,78.0,0.032
