화약,암석분류,심발,SR SD,CR SD,최대입자속도
에멀젼C,화성암,Cylinder-cut,77.5,57.1,0.11900000000000001
에멀젼C,화성암,Cylinder-cut,87.5,64.47,0.084
에멀젼C,화성암,Cylinder-cut,85.0,62.63,0.12300000000000001
에멀젼C,화성암,Cylinder-cut,90.0,66.31,0.09699999999999999
에멀젼C,화성암,Cylinder-cut,125.0,92.1,0.040999999999999995
에멀젼C,화성암,Cylinder-cut,122.5,90.26,0.067
에멀젼C,화성암,Cylinder-cut,127.5,93.94,0.057
에멀젼C,화성암,Cylinder-cut,155.0,114.2,0.027999999999999997
에멀젼C,화성암,Cylinder-cut,152.5,112.36,0.052000000000000005
에멀젼C,화성암,Cylinder-cut,157.5,116.05,0.034
에멀젼C,화성암,Cylinder-cut,187.5,138.15,0.044000000000000004
에멀젼C,화성암,Cylinder-cut,185.0,136.31,0.062
에멀젼C,화성암,Cylinder-cut,190.0,139.99,0.049
에멀젼C,화성암,Cylinder-cut,225.0,165.78,0.013999999999999999
에멀젼C,화성암,Cylinder-cut,222.5,163.94,0.021
에멀젼C,화성암,Cylinder-cut,227.5,167.62,0.006
에멀젼C,화성암,Cylinder-cut,87.5,64.47,0.064
에멀젼C,화성암,Cylinder-cut,69.4,54.71,0.203
에멀젼C,화성암,Cylinder-cut,73.48,57.93,0.038
에멀젼C,화성암,Cylinder-cut,125.0,92.1,0.051
에멀젼C,화성암,Cylinder-cut,100.02,78.85,0.114
에멀젼C,화성암,Cylinder-cut,104.1,82.07,0.013000000000000001
에멀젼C,화성암,Cylinder-cut,150.0,110.52,0.021
에멀젼C,화성암,Cylinder-cut,120.43,94.94,0.044000000000000004
에멀젼C,화성암,Cylinder-cut,124.52,98.16,0.016
에멀젼C,화성암,Cylinder-cut,175.0,128.94,0.024
에멀젼C,화성암,Cylinder-cut,140.85,111.03,0.043
에멀젼C,화성암,Cylinder-cut,144.93,114.25,0.013000000000000001
에멀젼C,화성암,Cylinder-cut,200.0,147.36,0.018000000000000002
에멀젼C,화성암,Cylinder-cut,161.26,127.12,0.024
에멀젼C,화성암,Cylinder-cut,165.34,130.34,0.006
에멀젼C,화성암,Cylinder-cut,225.0,165.78,0.018000000000000002
에멀젼C,화성암,Cylinder-cut,181.67,143.21,0.013000000000000001
에멀젼C,화성암,Cylinder-cut,185.75,146.43,0.005
에멀젼C,화성암,Cylinder-cut,250.0,184.2,0.016
에멀젼C,화성암,Cylinder-cut,202.08,159.31,0.008
에멀젼C,화성암,Cylinder-cut,206.17,162.52,0.006
에멀젼C,화성암,Cylinder-cut,100.0,73.68,0.076
에멀젼C,화성암,Cylinder-cut,79.61,62.76,0.10300000000000001
에멀젼C,화성암,Cylinder-cut,83.69,65.98,0.071
에멀젼C,화성암,Cylinder-cut,125.0,92.1,0.04
에멀젼C,화성암,Cylinder-cut,100.02,78.85,0.051
에멀젼C,화성암,Cylinder-cut,104.1,82.07,0.038
에멀젼C,화성암,Cylinder-cut,150.0,110.52,0.032
에멀젼C,화성암,Cylinder-cut,120.43,94.94,0.055999999999999994
에멀젼C,화성암,Cylinder-cut,124.52,98.16,0.028999999999999998
에멀젼C,화성암,Cylinder-cut,175.0,128.94,0.024
에멀젼C,화성암,Cylinder-cut,140.85,111.03,0.052000000000000005
에멀젼C,화성암,Cylinder-cut,144.93,114.25,0.037000000000000005
에멀젼C,화성암,Cylinder-cut,200.0,147.36,0.024
에멀젼C,화성암,Cylinder-cut,161.26,127.12,0.04
에멀젼C,화성암,Cylinder-cut,165.34,130.34,0.028999999999999998
에멀젼C,화성암,Cylinder-cut,225.0,165.78,0.018000000000000002
에멀젼C,화성암,Cylinder-cut,181.67,143.21,0.024
에멀젼C,화성암,Cylinder-cut,185.75,146.43,0.019
에멀젼C,화성암,Cylinder-cut,255.0,187.89,0.01
에멀젼C,화성암,Cylinder-cut,206.17,162.52,0.016
에멀젼C,화성암,Cylinder-cut,210.25,165.74,0.013999999999999999
에멀젼C,화성암,Cylinder-cut,310.0,228.41,0.01
에멀젼C,화성암,Cylinder-cut,251.07,197.93,0.013999999999999999
에멀젼C,화성암,Cylinder-cut,255.16,201.14,0.01
에멀젼C,화성암,Cylinder-cut,262.5,193.41,0.01
에멀젼C,화성암,Cylinder-cut,212.29,167.35,0.028999999999999998
에멀젼C,화성암,Cylinder-cut,216.37,170.57,0.027000000000000003
에멀젼C,화성암,Cylinder-cut,67.5,49.73,0.17
에멀젼C,화성암,Cylinder-cut,65.0,47.89,0.125
에멀젼C,화성암,Cylinder-cut,70.0,51.58,0.078
에멀젼C,화성암,Cylinder-cut,80.0,58.94,0.113
에멀젼C,화성암,Cylinder-cut,77.5,57.1,0.09
에멀젼C,화성암,Cylinder-cut,82.5,60.79,0.076
에멀젼C,화성암,Cylinder-cut,92.5,68.15,0.046
에멀젼C,화성암,Cylinder-cut,90.0,66.31,0.027000000000000003
에멀젼C,화성암,Cylinder-cut,95.0,70.0,0.022000000000000002
