화약,뇌관,SR SD,CR SD,최대입자속도
에멀젼C,비전기,42.05,56.68,0.23600000000000002
에멀젼C,비전기,51.05,64.32,0.158
에멀젼C,비전기,102.62,110.98,0.084
에멀젼C,비전기,58.93,76.53,0.22
에멀젼C,비전기,58.79,76.35,0.33
에멀젼C,비전기,59.25,76.95,0.20800000000000002
에멀젼C,비전기,59.25,76.95,0.134
에멀젼C,비전기,73.12,94.97,0.162
에멀젼C,비전기,72.39,94.02,0.162
에멀젼C,비전기,65.24,87.94,0.11800000000000001
에멀젼C,비전기,64.54,87.01,0.252
에멀젼C,비전기,64.87,87.45,0.19699999999999998
에멀젼C,비전기,76.3,102.86,0.141
에멀젼C,비전기,76.63,103.3,0.133
에멀젼C,비전기,75.89,102.3,0.142
에멀젼C,비전기,94.65,119.25,0.102
에멀젼C,비전기,76.91,103.68,0.121
에멀젼C,비전기,171.16,185.1,0.038
에멀젼C,비전기,99.18,128.82,0.11800000000000001
에멀젼C,비전기,98.36,127.75,0.102
에멀젼C,비전기,88.43,119.2,0.135
에멀젼C,비전기,107.8,135.82,0.075
에멀젼C,비전기,40.25,43.07,0.151
에멀젼C,비전기,39.85,42.63,0.172
에멀젼C,비전기,50.06,51.06,0.149
에멀젼C,비전기,53.17,54.23,0.10800000000000001
에멀젼C,비전기,50.53,51.54,0.14400000000000002
에멀젼C,비전기,52.23,53.27,0.086
에멀젼C,비전기,51.1,52.11,0.125
에멀젼C,비전기,52.7,53.75,0.081
에멀젼C,비전기,55.36,59.23,0.098
에멀젼C,비전기,55.28,59.14,0.098
에멀젼C,비전기,54.95,58.79,0.14
에멀젼C,비전기,61.28,62.5,0.11699999999999999
에멀젼C,비전기,63.07,64.32,0.102
에멀젼C,비전기,61.85,63.07,0.11199999999999999
에멀젼C,비전기,62.41,63.65,0.10300000000000001
에멀젼C,비전기,60.62,61.82,0.128
