화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,89.67,94.84,0.237
에멀젼C,전기,화성암,190.2,150.96,0.015
에멀젼C,전기,화성암,216.39,163.71,0.012
에멀젼C,전기,화성암,218.01,164.93,0.012
에멀젼C,전기,화성암,225.86,170.87,0.012
에멀젼C,전기,화성암,223.78,169.3,0.016
에멀젼C,전기,화성암,224.94,170.17,0.017
에멀젼C,전기,화성암,370.85,314.92,0.008
에멀젼C,전기,화성암,370.53,314.65,0.011000000000000001
에멀젼C,전기,화성암,369.55,313.82,0.012
에멀젼C,전기,화성암,368.57,312.98,0.012
에멀젼C,전기,화성암,367.59,312.15,0.013999999999999999
에멀젼C,전기,화성암,360.56,306.19,0.013999999999999999
에멀젼C,전기,화성암,93.73,79.6,0.12
에멀젼C,전기,화성암,92.75,78.77,0.161
에멀젼C,전기,화성암,126.56,95.74,0.087
에멀젼C,전기,화성암,127.02,96.09,0.095
에멀젼C,전기,화성암,125.86,95.22,0.081
에멀젼C,전기,화성암,91.61,77.8,0.086
에멀젼C,전기,화성암,76.91,65.31,0.139
에멀젼C,전기,화성암,79.04,67.12,0.111
에멀젼C,전기,화성암,76.91,65.31,0.131
에멀젼C,전기,화성암,99.4,78.89,0.084
에멀젼C,전기,화성암,102.77,77.75,0.09699999999999999
에멀젼C,전기,화성암,75.44,64.07,0.105
에멀젼C,전기,화성암,89.81,76.27,0.084
에멀젼C,전기,화성암,87.53,74.33,0.109
에멀젼C,전기,화성암,87.69,74.47,0.15
에멀젼C,전기,화성암,116.86,88.41,0.09
에멀젼C,전기,화성암,114.55,86.66,0.106
에멀젼C,전기,화성암,85.24,72.39,0.079
에멀젼C,전기,화성암,164.24,158.24,0.021
에멀젼C,전기,화성암,169.63,161.68,0.022000000000000002
에멀젼C,전기,화성암,134.1,138.24,0.027999999999999997
에멀젼C,전기,화성암,207.17,199.61,0.022000000000000002
에멀젼C,전기,화성암,206.72,199.18,0.023
에멀젼C,전기,화성암,213.97,203.95,0.021
에멀젼C,전기,화성암,98.15,93.55,0.182
에멀젼C,전기,화성암,98.15,93.55,0.157
에멀젼C,전기,화성암,77.59,79.99,0.223
에멀젼C,전기,화성암,127.02,121.07,0.094
에멀젼C,전기,화성암,122.98,118.49,0.07
에멀젼C,전기,화성암,127.02,121.07,0.06
에멀젼C,전기,화성암,151.05,145.53,0.031
에멀젼C,전기,화성암,151.05,145.53,0.037000000000000005
에멀젼C,전기,화성암,156.0,148.7,0.024
에멀젼C,전기,화성암,179.11,172.57,0.028999999999999998
에멀젼C,전기,화성암,184.98,176.32,0.017
에멀젼C,전기,화성암,184.98,176.32,0.013999999999999999
에멀젼C,전기,화성암,206.95,199.39,0.016
에멀젼C,전기,화성암,206.95,199.39,0.015
에멀젼C,전기,화성암,213.74,203.73,0.016
에멀젼C,전기,화성암,242.6,231.24,0.015
에멀젼C,전기,화성암,234.9,226.32,0.019
에멀젼C,전기,화성암,242.6,231.24,0.016
에멀젼C,전기,화성암,163.79,157.81,0.021
에멀젼C,전기,화성암,169.16,161.24,0.015
