뇌관,SR SD,CR SD,최대입자속도
전자,310.0,228.41,0.01
전자,251.07,197.93,0.013999999999999999
전자,228.53,185.39,0.013000000000000001
전자,255.16,201.14,0.01
전자,262.5,193.41,0.01
전자,212.29,167.35,0.028999999999999998
전자,192.94,156.51,0.017
전자,216.37,170.57,0.027000000000000003
전자,67.5,49.73,0.17
전자,65.0,47.89,0.125
전자,55.22,42.4,0.244
전자,70.0,51.58,0.078
전자,80.0,58.94,0.113
전자,77.5,57.1,0.09
전자,66.26,50.88,0.1
전자,82.5,60.79,0.076
전자,92.5,68.15,0.046
전자,90.0,66.31,0.027000000000000003
전자,77.3,59.36,0.04
전자,95.0,70.0,0.022000000000000002
전자,115.0,84.73,0.040999999999999995
전자,112.5,82.89,0.032
전자,97.18,74.62,0.071
전자,117.5,86.57,0.028999999999999998
전자,137.5,101.31,0.027000000000000003
전자,135.0,99.47,0.028999999999999998
전자,117.06,89.89,0.048
전자,140.0,103.15,0.024
전자,212.5,156.57,0.019
전자,210.0,154.73,0.022000000000000002
전자,183.32,140.76,0.028999999999999998
전자,215.0,158.41,0.024
전자,80.0,63.5,0.051
전자,78.0,61.91,0.151
전자,80.11,62.48,0.10300000000000001
전자,82.0,65.08,0.081
전자,110.0,87.31,0.021
전자,108.0,85.72,0.051
전자,111.73,87.14,0.040999999999999995
전자,112.0,88.89,0.033
전자,140.0,111.12,0.016
전자,138.0,109.53,0.037000000000000005
전자,145.46,113.45,0.035
전자,142.0,112.71,0.018000000000000002
전자,170.0,134.93,0.019
전자,168.0,133.34,0.028999999999999998
전자,174.98,136.46,0.003
전자,172.0,136.52,0.003
전자,200.0,158.74,0.013999999999999999
전자,198.0,157.15,0.018000000000000002
전자,206.6,161.13,0.006
전자,202.0,160.33,0.006
전자,272.0,215.89,0.006
전자,270.0,214.3,0.013999999999999999
전자,282.5,220.31,0.006
전자,274.0,217.47,0.006
전자,358.0,284.14,0.006
전자,356.0,282.56,0.008
전자,373.15,291.01,0.005
전자,360.0,285.73,0.005
전자,100.0,79.37,0.067
전자,98.0,77.78,0.13
전자,101.19,78.92,0.09
전자,102.0,80.96,0.040999999999999995
전자,120.0,95.24,0.075
전자,118.0,93.66,0.094
전자,122.27,95.36,0.054000000000000006
전자,122.0,96.83,0.040999999999999995
전자,160.0,126.99,0.043
전자,158.0,125.4,0.055999999999999994
전자,164.44,128.24,0.040999999999999995
전자,162.0,128.58,0.043
전자,180.0,142.87,0.038
전자,178.0,141.28,0.048
전자,185.52,144.68,0.032
전자,182.0,144.45,0.027000000000000003
전자,200.0,158.74,0.035
전자,198.0,157.15,0.037000000000000005
전자,206.6,161.13,0.037000000000000005
전자,202.0,160.33,0.016
전자,66.0,52.38,0.08900000000000001
전자,64.0,50.8,0.177
전자,65.35,50.97,0.076
전자,68.0,53.97,0.102
전자,76.0,60.32,0.033
전자,74.0,58.73,0.083
전자,75.89,59.19,0.10800000000000001
전자,78.0,61.91,0.065
전자,80.0,63.5,0.043
전자,78.0,61.91,0.095
전자,80.11,62.48,0.083
전자,82.0,65.08,0.095
전자,100.0,79.37,0.028999999999999998
전자,98.0,77.78,0.06
전자,101.19,78.92,0.037000000000000005
전자,102.0,80.96,0.065
전자,120.0,95.24,0.027000000000000003
전자,118.0,93.66,0.059000000000000004
전자,122.27,95.36,0.054000000000000006
전자,122.0,96.83,0.052000000000000005
전자,160.0,126.99,0.027000000000000003
전자,158.0,125.4,0.06
전자,164.44,128.24,0.040999999999999995
전자,162.0,128.58,0.054000000000000006
전자,180.0,142.87,0.019
전자,178.0,141.28,0.062
전자,185.52,144.68,0.044000000000000004
전자,182.0,144.45,0.027000000000000003
전자,28.86,28.23,0.217
전자,28.41,27.08,0.191
전자,34.44,30.14,0.27
전자,32.1,30.6,0.195
전자,28.86,28.23,0.111
전자,28.41,27.08,0.10800000000000001
전자,34.44,30.14,0.11
전자,32.1,30.6,0.09699999999999999
전자,79.32,77.58,0.054000000000000006
전자,84.76,80.79,0.044000000000000004
전자,108.67,95.13,0.057
전자,86.03,82.0,0.049
전자,107.44,105.07,0.023
전자,115.47,110.06,0.026000000000000002
전자,148.62,130.1,0.024
전자,116.28,110.83,0.023
전자,118.34,115.74,0.023
전자,127.36,121.4,0.022000000000000002
전자,163.98,143.55,0.022000000000000002
전자,128.06,122.06,0.016
전자,73.16,62.13,0.142
전자,67.61,57.41,0.21
전자,70.65,59.31,0.204
전자,75.93,64.48,0.14400000000000002
전자,98.47,83.62,0.076
전자,94.55,80.29,0.13699999999999998
전자,98.38,82.58,0.105
전자,100.43,85.28,0.08800000000000001
전자,135.87,115.38,0.017
전자,133.09,113.02,0.03
전자,138.1,115.93,0.023
전자,137.33,116.62,0.019
전자,197.76,167.93,0.021
전자,195.96,166.41,0.034
전자,203.01,170.42,0.027999999999999997
전자,198.9,168.9,0.021
전자,272.06,231.03,0.018000000000000002
전자,270.91,230.06,0.023
전자,280.42,235.41,0.022000000000000002
전자,272.87,231.72,0.012
전자,143.7,122.03,0.026000000000000002
전자,140.44,119.26,0.048
전자,145.87,122.46,0.031
전자,145.17,123.28,0.034
전자,198.41,168.49,0.027999999999999997
전자,195.96,166.41,0.044000000000000004
전자,203.18,170.56,0.031
전자,199.55,169.46,0.013000000000000001
전자,55.11,43.45,0.168
전자,53.07,41.84,0.17600000000000002
전자,61.24,48.27,0.19
전자,71.44,56.32,0.122
전자,65.32,51.49,0.196
전자,85.73,67.58,0.184
전자,53.4,45.35,0.205
전자,51.77,43.96,0.27
전자,51.89,43.56,0.184
전자,53.89,45.76,0.222
전자,58.46,49.64,0.149
전자,56.83,48.26,0.233
전자,57.13,47.96,0.14400000000000002
전자,60.09,51.03,0.179
전자,77.08,65.45,0.11
전자,75.44,64.07,0.13699999999999998
전자,76.4,64.14,0.111
전자,78.38,66.56,0.122
전자,83.61,71.0,0.083
전자,81.98,69.61,0.102
전자,83.16,69.81,0.113
전자,84.92,72.11,0.09699999999999999
전자,90.63,76.96,0.076
전자,89.0,75.58,0.098
전자,90.43,75.92,0.092
전자,92.26,78.35,0.091
전자,97.82,83.06,0.087
전자,96.18,81.68,0.10300000000000001
전자,97.87,82.16,0.076
전자,99.61,84.59,0.08900000000000001
전자,104.84,89.03,0.075
전자,103.21,87.64,0.086
전자,105.14,88.26,0.087
전자,106.14,90.14,0.086
전자,112.35,95.41,0.073
전자,110.72,94.02,0.073
전자,112.91,94.79,0.073
전자,114.31,97.07,0.068
전자,38.89,32.16,0.205
전자,37.12,30.7,0.213
전자,37.46,30.39,0.198
전자,40.66,33.63,0.243
전자,45.96,38.01,0.16399999999999998
전자,44.19,36.55,0.198
전자,44.96,36.47,0.154
전자,47.73,39.47,0.17300000000000001
전자,70.71,58.48,0.084
전자,68.94,57.02,0.125
전자,71.18,57.74,0.091
전자,72.48,59.94,0.10300000000000001
전자,88.39,73.1,0.057
전자,86.62,71.64,0.052000000000000005
전자,89.91,72.94,0.038
전자,90.16,74.56,0.055999999999999994
전자,123.74,102.34,0.048
전자,121.98,100.88,0.064
전자,129.25,104.85,0.048
전자,125.51,103.8,0.048
전자,159.1,131.58,0.022000000000000002
전자,157.33,130.12,0.013000000000000001
전자,164.84,133.72,0.064
전자,160.87,133.04,0.079
전자,31.25,23.03,0.213
전자,28.75,21.18,0.51
전자,23.19,17.81,0.594
전자,33.75,24.87,0.498
전자,60.5,44.58,0.124
전자,58.0,42.73,0.20600000000000002
전자,49.03,37.65,0.221
전자,63.0,46.42,0.17300000000000001
전자,82.5,60.79,0.067
전자,80.0,58.94,0.124
전자,68.47,52.57,0.11699999999999999
전자,85.0,62.63,0.08900000000000001
전자,106.0,78.1,0.043
전자,103.5,76.26,0.065
전자,89.23,68.52,0.062
전자,108.5,79.94,0.048
전자,130.0,95.78,0.052000000000000005
전자,127.5,93.94,0.054000000000000006
전자,110.43,84.8,0.055999999999999994
전자,132.5,97.63,0.038
전자,154.25,113.65,0.03
전자,151.75,111.81,0.043
전자,131.86,101.25,0.051
전자,156.75,115.49,0.038
전자,178.75,131.7,0.013999999999999999
전자,176.25,129.86,0.018000000000000002
전자,153.5,117.87,0.013999999999999999
전자,181.25,133.55,0.019
전자,26.0,20.64,0.406
전자,24.0,19.05,0.66
전자,23.19,18.09,0.711
전자,28.0,22.22,0.762
전자,56.0,44.45,0.057
전자,54.0,42.86,0.049
전자,54.81,42.75,0.073
전자,58.0,46.03,0.083
전자,80.0,63.5,0.141
전자,78.0,61.91,0.10800000000000001
전자,80.11,62.48,0.132
전자,82.0,65.08,0.157
전자,100.0,79.37,0.091
전자,98.0,77.78,0.068
전자,101.19,78.92,0.105
전자,102.0,80.96,0.132
전자,120.0,95.24,0.043
전자,118.0,93.66,0.038
전자,122.27,95.36,0.06
전자,122.0,96.83,0.067
전자,140.0,111.12,0.046
전자,138.0,109.53,0.04
전자,145.46,113.45,0.051
전자,142.0,112.71,0.048
전자,160.0,126.99,0.027000000000000003
전자,158.0,125.4,0.021
전자,164.44,128.24,0.040999999999999995
전자,162.0,128.58,0.035
전자,61.24,48.27,0.162
전자,59.2,46.67,0.141
전자,61.84,47.49,0.16699999999999998
전자,63.28,49.88,0.114
전자,81.65,64.37,0.059000000000000004
전자,79.61,62.76,0.071
전자,83.93,64.45,0.079
전자,83.69,65.98,0.062
전자,90.22,71.12,0.021
전자,88.18,69.52,0.026000000000000002
전자,93.2,71.57,0.016
전자,92.26,72.73,0.02
전자,122.47,96.55,0.075
전자,120.43,94.94,0.075
전자,128.1,98.37,0.079
전자,124.52,98.16,0.065
전자,142.89,112.64,0.033
전자,140.85,111.03,0.027000000000000003
전자,150.19,115.33,0.025
전자,144.93,114.25,0.021
전자,163.3,128.73,0.024
전자,161.26,127.12,0.019
전자,172.27,132.28,0.018000000000000002
전자,165.34,130.34,0.018000000000000002
전자,183.71,144.82,0.016
전자,181.67,143.21,0.016
전자,194.36,149.24,0.013000000000000001
전자,185.75,146.43,0.011000000000000001
전자,89.61,70.64,0.023
전자,87.57,69.03,0.036000000000000004
전자,85.53,67.42,0.047
