심발,SR SD,CR SD,최대입자속도
V-CUT,94.15,125.46,0.045
V-CUT,93.52,124.62,0.043
V-CUT,93.81,125.01,0.04
V-CUT,93.43,124.51,0.038
V-CUT,100.4,133.8,0.021
V-CUT,99.69,132.84,0.032
V-CUT,99.39,132.45,0.027000000000000003
V-CUT,100.07,133.35,0.021
V-CUT,100.32,133.69,0.013999999999999999
V-CUT,107.97,143.88,0.023
V-CUT,108.01,143.93,0.019
V-CUT,107.84,143.71,0.017
V-CUT,107.21,142.86,0.025
V-CUT,107.55,143.32,0.022000000000000002
V-CUT,130.98,159.0,0.04
V-CUT,130.75,158.73,0.07
V-CUT,93.01,126.73,0.064
V-CUT,123.91,153.4,0.042
V-CUT,125.54,155.42,0.03
V-CUT,95.82,129.16,0.033
V-CUT,23.6,32.15,0.226
V-CUT,32.26,39.93,0.242
V-CUT,31.2,38.63,0.335
V-CUT,30.83,38.17,0.32899999999999996
V-CUT,27.71,35.98,0.335
V-CUT,26.18,35.57,0.318
V-CUT,35.3,48.1,0.20199999999999999
V-CUT,47.38,58.66,0.254
V-CUT,46.64,57.74,0.369
V-CUT,36.86,49.69,0.222
V-CUT,36.25,48.87,0.22899999999999998
V-CUT,38.5,51.9,0.271
V-CUT,62.88,77.84,0.136
V-CUT,62.67,77.58,0.133
V-CUT,48.91,65.93,0.142
V-CUT,48.09,64.83,0.141
V-CUT,63.03,78.04,0.122
V-CUT,48.49,65.89,0.125
V-CUT,78.69,97.41,0.10300000000000001
V-CUT,79.95,98.98,0.08800000000000001
V-CUT,61.32,82.66,0.092
V-CUT,66.46,86.9,0.16399999999999998
V-CUT,61.0,82.9,0.09699999999999999
V-CUT,60.44,82.14,0.121
V-CUT,407.01,362.61,0.003
V-CUT,397.39,354.04,0.004
V-CUT,412.38,367.39,0.005
V-CUT,337.4,321.61,0.004
V-CUT,323.09,307.96,0.006999999999999999
V-CUT,415.61,363.82,0.006999999999999999
V-CUT,471.22,419.81,0.004
V-CUT,472.49,420.94,0.003
V-CUT,376.43,358.81,0.004
V-CUT,375.16,357.6,0.004
V-CUT,409.33,383.38,0.004
V-CUT,504.16,441.34,0.003
V-CUT,59.7,56.9,0.105
V-CUT,72.27,64.38,0.10099999999999999
V-CUT,63.5,56.57,0.11699999999999999
V-CUT,51.04,48.65,0.16399999999999998
V-CUT,50.46,48.1,0.16
V-CUT,54.77,51.3,0.14400000000000002
V-CUT,111.58,99.41,0.025
V-CUT,115.97,103.31,0.024
V-CUT,112.43,100.16,0.031
V-CUT,94.8,90.36,0.025
V-CUT,85.68,81.67,0.031
V-CUT,96.89,90.74,0.027999999999999997
V-CUT,136.2,127.56,0.013000000000000001
V-CUT,136.32,127.68,0.02
V-CUT,138.51,129.73,0.012
V-CUT,140.7,131.78,0.011000000000000001
V-CUT,175.01,153.2,0.009000000000000001
V-CUT,175.16,153.33,0.008
V-CUT,198.91,215.11,0.024
V-CUT,114.57,148.8,0.042
V-CUT,114.38,148.56,0.047
V-CUT,178.05,199.85,0.027000000000000003
V-CUT,125.4,157.99,0.027999999999999997
V-CUT,100.59,135.6,0.044000000000000004
V-CUT,99.78,134.5,0.055
V-CUT,100.96,136.09,0.042
V-CUT,124.1,156.36,0.034
V-CUT,122.75,154.66,0.045
V-CUT,28.3,36.75,0.872
V-CUT,28.44,36.93,0.768
V-CUT,28.71,37.29,0.581
V-CUT,25.64,34.56,0.604
V-CUT,31.8,40.07,0.462
V-CUT,81.74,88.41,0.124
V-CUT,80.95,87.55,0.113
V-CUT,47.1,61.18,0.20199999999999999
V-CUT,42.05,56.68,0.23600000000000002
V-CUT,51.05,64.32,0.158
V-CUT,102.62,110.98,0.084
V-CUT,58.93,76.53,0.22
V-CUT,58.79,76.35,0.33
V-CUT,59.25,76.95,0.20800000000000002
V-CUT,59.25,76.95,0.134
V-CUT,73.12,94.97,0.162
V-CUT,72.39,94.02,0.162
V-CUT,65.24,87.94,0.11800000000000001
V-CUT,64.54,87.01,0.252
V-CUT,64.87,87.45,0.19699999999999998
V-CUT,76.3,102.86,0.141
V-CUT,76.63,103.3,0.133
V-CUT,75.89,102.3,0.142
V-CUT,94.65,119.25,0.102
V-CUT,76.91,103.68,0.121
V-CUT,171.16,185.1,0.038
V-CUT,99.18,128.82,0.11800000000000001
V-CUT,98.36,127.75,0.102
V-CUT,88.43,119.2,0.135
V-CUT,107.8,135.82,0.075
V-CUT,40.25,43.07,0.151
V-CUT,39.85,42.63,0.172
V-CUT,50.06,51.06,0.149
V-CUT,53.17,54.23,0.10800000000000001
V-CUT,50.53,51.54,0.14400000000000002
V-CUT,52.23,53.27,0.086
V-CUT,51.1,52.11,0.125
V-CUT,52.7,53.75,0.081
V-CUT,55.36,59.23,0.098
V-CUT,55.28,59.14,0.098
V-CUT,54.95,58.79,0.14
V-CUT,61.28,62.5,0.11699999999999999
V-CUT,63.07,64.32,0.102
V-CUT,61.85,63.07,0.11199999999999999
V-CUT,62.41,63.65,0.10300000000000001
V-CUT,60.62,61.82,0.128
V-CUT,74.22,79.41,0.048
V-CUT,74.71,79.93,0.04
V-CUT,85.32,87.02,0.048
V-CUT,82.21,83.84,0.084
V-CUT,83.44,85.09,0.066
V-CUT,82.78,84.42,0.068
V-CUT,84.1,85.77,0.053
V-CUT,89.19,90.96,0.053
V-CUT,118.07,126.32,0.019
V-CUT,118.56,126.84,0.019
V-CUT,118.47,126.76,0.016
V-CUT,118.07,126.32,0.025
V-CUT,135.29,137.98,0.021
V-CUT,133.97,136.63,0.03
V-CUT,135.95,138.65,0.019
V-CUT,134.63,137.3,0.026000000000000002
V-CUT,109.2,125.0,0.084
V-CUT,109.47,125.31,0.064
V-CUT,110.2,126.15,0.051
V-CUT,122.69,136.24,0.043
V-CUT,122.62,136.16,0.048
V-CUT,131.95,148.1,0.022000000000000002
V-CUT,117.76,137.19,0.022000000000000002
V-CUT,126.93,145.3,0.023
V-CUT,125.93,144.16,0.025
V-CUT,136.93,152.06,0.024
V-CUT,42.28,47.46,0.322
V-CUT,36.53,41.82,0.331
V-CUT,37.07,42.43,0.24100000000000002
V-CUT,37.07,42.43,0.309
V-CUT,37.73,43.19,0.33
V-CUT,63.57,71.35,0.153
V-CUT,63.99,71.83,0.1
V-CUT,63.53,72.73,0.091
V-CUT,57.73,66.09,0.11199999999999999
V-CUT,59.47,68.07,0.115
V-CUT,76.6,87.69,0.059000000000000004
V-CUT,76.6,87.69,0.055999999999999994
V-CUT,77.13,88.3,0.034
V-CUT,84.42,93.75,0.042
V-CUT,84.64,93.99,0.051
V-CUT,106.0,118.98,0.04
V-CUT,98.6,112.87,0.039
V-CUT,97.87,112.03,0.053
V-CUT,97.87,112.03,0.032
V-CUT,97.27,111.34,0.033
V-CUT,127.63,143.26,0.02
V-CUT,116.93,133.86,0.026000000000000002
V-CUT,117.0,133.93,0.018000000000000002
V-CUT,119.87,137.21,0.019
V-CUT,116.93,133.86,0.023
V-CUT,176.21,156.99,0.046
V-CUT,175.65,156.48,0.025
V-CUT,200.04,169.87,0.026000000000000002
V-CUT,203.63,172.92,0.024
V-CUT,204.45,173.62,0.028999999999999998
V-CUT,297.27,264.84,0.01
V-CUT,298.4,265.84,0.009000000000000001
V-CUT,341.3,289.83,0.006999999999999999
V-CUT,343.75,291.91,0.006999999999999999
V-CUT,344.72,292.74,0.009000000000000001
V-CUT,129.4,115.28,0.069
V-CUT,130.11,115.91,0.069
V-CUT,129.12,115.03,0.052000000000000005
V-CUT,143.21,121.62,0.047
V-CUT,144.19,122.45,0.049
V-CUT,55.58,49.51,0.24
V-CUT,56.85,50.65,0.308
V-CUT,59.6,50.62,0.20800000000000002
V-CUT,54.02,48.13,0.318
V-CUT,63.03,53.53,0.32799999999999996
V-CUT,70.0,62.37,0.107
V-CUT,79.85,67.81,0.091
V-CUT,79.04,67.12,0.1
V-CUT,62.87,59.24,0.077
V-CUT,69.08,65.1,0.068
V-CUT,99.28,88.45,0.032
V-CUT,99.14,88.32,0.028999999999999998
V-CUT,112.02,95.13,0.027000000000000003
V-CUT,113.66,96.52,0.036000000000000004
V-CUT,110.72,94.02,0.027000000000000003
V-CUT,135.06,120.32,0.025
V-CUT,134.21,119.57,0.027000000000000003
V-CUT,133.78,119.19,0.031
V-CUT,153.34,130.21,0.019
V-CUT,151.22,128.41,0.021
V-CUT,31.5,31.5,0.305
V-CUT,28.89,29.98,0.27899999999999997
V-CUT,30.68,31.84,0.195
V-CUT,29.96,31.1,0.22899999999999998
V-CUT,28.0,29.06,0.439
V-CUT,33.5,33.5,0.2
V-CUT,60.4,60.4,0.064
V-CUT,55.1,57.18,0.067
V-CUT,56.08,58.21,0.057
