화약,SR SD,CR SD,최대입자속도
에멀젼C,297.27,264.84,0.01
에멀젼C,298.4,265.84,0.009000000000000001
에멀젼C,341.3,289.83,0.006999999999999999
에멀젼C,343.75,291.91,0.006999999999999999
에멀젼C,344.72,292.74,0.009000000000000001
에멀젼C,129.4,115.28,0.069
에멀젼C,130.11,115.91,0.069
에멀젼C,129.12,115.03,0.052000000000000005
에멀젼C,143.21,121.62,0.047
에멀젼C,144.19,122.45,0.049
에멀젼C,55.58,49.51,0.24
에멀젼C,56.85,50.65,0.308
에멀젼C,59.6,50.62,0.20800000000000002
에멀젼C,54.02,48.13,0.318
에멀젼C,63.03,53.53,0.32799999999999996
에멀젼C,70.0,62.37,0.107
에멀젼C,79.85,67.81,0.091
에멀젼C,79.04,67.12,0.1
에멀젼C,62.87,59.24,0.077
에멀젼C,69.08,65.1,0.068
에멀젼C,99.28,88.45,0.032
에멀젼C,99.14,88.32,0.028999999999999998
에멀젼C,112.02,95.13,0.027000000000000003
에멀젼C,113.66,96.52,0.036000000000000004
에멀젼C,110.72,94.02,0.027000000000000003
에멀젼C,135.06,120.32,0.025
에멀젼C,134.21,119.57,0.027000000000000003
