암종,SR SD,CR SD,최대입자속도
화강암,53.4,45.35,0.205
화강암,51.77,43.96,0.27
화강암,51.89,43.56,0.184
화강암,53.89,45.76,0.222
화강암,58.46,49.64,0.149
화강암,56.83,48.26,0.233
화강암,57.13,47.96,0.14400000000000002
화강암,60.09,51.03,0.179
화강암,77.08,65.45,0.11
화강암,75.44,64.07,0.13699999999999998
화강암,76.4,64.14,0.111
화강암,78.38,66.56,0.122
화강암,83.61,71.0,0.083
화강암,81.98,69.61,0.102
화강암,83.16,69.81,0.113
화강암,84.92,72.11,0.09699999999999999
화강암,90.63,76.96,0.076
화강암,89.0,75.58,0.098
화강암,90.43,75.92,0.092
화강암,92.26,78.35,0.091
화강암,97.82,83.06,0.087
화강암,96.18,81.68,0.10300000000000001
화강암,97.87,82.16,0.076
화강암,99.61,84.59,0.08900000000000001
화강암,104.84,89.03,0.075
화강암,103.21,87.64,0.086
화강암,105.14,88.26,0.087
화강암,106.14,90.14,0.086
화강암,112.35,95.41,0.073
화강암,110.72,94.02,0.073
화강암,112.91,94.79,0.073
화강암,114.31,97.07,0.068
화강암,61.24,48.27,0.162
화강암,59.2,46.67,0.141
화강암,61.84,47.49,0.16699999999999998
화강암,63.28,49.88,0.114
화강암,81.65,64.37,0.059000000000000004
화강암,79.61,62.76,0.071
화강암,83.93,64.45,0.079
화강암,83.69,65.98,0.062
화강암,90.22,71.12,0.021
화강암,88.18,69.52,0.026000000000000002
화강암,93.2,71.57,0.016
화강암,92.26,72.73,0.02
화강암,122.47,96.55,0.075
화강암,120.43,94.94,0.075
화강암,128.1,98.37,0.079
화강암,124.52,98.16,0.065
화강암,142.89,112.64,0.033
화강암,140.85,111.03,0.027000000000000003
화강암,150.19,115.33,0.025
화강암,144.93,114.25,0.021
화강암,163.3,128.73,0.024
화강암,161.26,127.12,0.019
화강암,172.27,132.28,0.018000000000000002
화강암,165.34,130.34,0.018000000000000002
화강암,183.71,144.82,0.016
화강암,181.67,143.21,0.016
화강암,194.36,149.24,0.013000000000000001
화강암,185.75,146.43,0.011000000000000001
화강암,89.61,70.64,0.023
화강암,87.57,69.03,0.036000000000000004
화강암,85.53,67.42,0.047
화강암,91.65,72.25,0.002
화강암,22.37,19.0,1.63
화강암,17.96,16.0,1.02
화강암,12.08,11.95,1.65
화강암,20.79,18.52,0.991
화강암,32.66,27.73,1.45
화강암,26.87,23.94,1.17
화강암,18.59,18.39,1.41
화강암,29.7,26.46,1.27
화강암,48.99,41.6,0.622
화강암,41.01,36.54,0.508
화강암,28.92,28.61,0.521
화강암,43.84,39.06,0.444
화강암,65.32,55.47,0.278
화강암,55.15,49.14,0.29100000000000004
화강암,39.25,38.83,0.281
화강암,57.98,51.66,0.237
화강암,81.65,69.34,0.113
화강암,69.3,61.74,0.09699999999999999
화강암,49.57,49.04,0.086
화강암,72.12,64.26,0.079
화강암,97.98,83.2,0.073
화강암,83.44,74.34,0.065
화강암,59.9,59.26,0.084
화강암,86.27,76.86,0.052000000000000005
화강암,114.31,97.07,0.076
화강암,97.58,86.93,0.079
화강암,70.23,69.48,0.062
화강암,100.41,89.45,0.064
화강암,130.64,110.94,0.049
화강암,111.72,99.53,0.07200000000000001
화강암,80.56,79.7,0.055999999999999994
화강암,114.55,102.05,0.046
화강암,30.89,27.33,2.16
화강암,30.04,25.79,2.93
화강암,34.93,30.91,1.071
화강암,47.78,42.27,0.266
화강암,52.34,44.92,0.447
화강암,48.21,42.66,0.325
화강암,70.58,62.45,0.098
화강암,77.32,66.37,0.127
화강암,71.01,62.84,0.078
화강암,96.42,85.32,0.076
화강암,105.62,90.66,0.081
화강암,96.71,85.57,0.081
화강암,187.35,165.78,0.017
화강암,205.55,176.44,0.019
화강암,187.21,165.65,0.012
화강암,217.37,192.34,0.017
화강암,238.44,204.67,0.017
화강암,217.23,192.22,0.013000000000000001
화강암,236.42,209.2,0.012
화강암,259.15,222.45,0.009000000000000001
화강암,236.14,208.95,0.009000000000000001
화강암,261.68,231.55,0.013999999999999999
화강암,287.13,246.47,0.017
화강암,261.54,231.43,0.017
화강암,279.29,247.13,0.034
화강암,306.42,263.03,0.034
화강암,279.0,246.88,0.034
화강암,58.75,51.98,0.12
화강암,62.61,53.75,0.271
화강암,60.48,53.51,0.129
화강암,205.54,181.87,0.044000000000000004
화강암,224.21,192.45,0.024
화강암,206.26,182.51,0.02
화강암,84.29,59.6,0.1
화강암,62.23,44.0,0.07
화강암,79.48,56.2,0.05
화강암,84.0,59.4,0.1
화강암,80.61,57.0,0.05
화강암,84.85,60.0,0.1
화강암,59.68,42.2,0.25
화강암,82.31,58.2,0.07
화강암,80.89,57.2,0.1
화강암,83.16,58.8,0.07
화강암,69.71,51.68,0.1
화강암,54.24,40.21,0.12
화강암,66.51,49.31,0.07
화강암,65.78,48.76,0.07
화강암,67.25,49.86,0.05
화강암,69.71,51.68,0.1
화강암,66.76,49.49,0.1
화강암,67.5,50.04,0.05
화강암,67.74,50.22,0.05
화강암,69.46,51.49,0.1
화강암,68.72,50.95,0.07
