K,n,s,# of elem,exp,det,rot,roc,cen
-2.827330726,0.492041233,0.2371414,10,3,2,2,0,3
-2.827330726,0.492041233,0.2371414,10,3,2,2,0,0
1.24263506,-0.91013534,0.39137573,78,3,2,3,11,7
1.24263506,-0.91013534,0.39137573,78,3,2,3,11,0
1.24263506,-0.91013534,0.39137573,78,3,2,3,0,7
1.24263506,-0.91013534,0.39137573,78,3,2,3,0,0
1.24263506,-0.91013534,0.39137573,78,3,2,0,11,7
1.24263506,-0.91013534,0.39137573,78,3,2,0,11,0
-2.827330726,0.492041233,0.2371414,10,3,2,0,5,3
-2.827330726,0.492041233,0.2371414,10,3,2,0,5,0
-1.099439607,-0.052539459,0.669200696,58,3,2,0,8,3
3.342837319,-1.394525822,0.273196503,22,3,2,0,8,7
2.689884365,-1.095095054,0.587342824,80,3,2,0,8,0
-1.019627892,-0.061725834,0.637039161,68,3,2,0,0,3
1.51381099,-0.987793827,0.369343461,100,3,2,0,0,7
1.173415093,-0.791521415,0.63231208,168,3,2,0,0,0
-1.099439607,-0.052539459,0.669200696,58,3,0,1,8,3
3.342837319,-1.394525822,0.273196503,22,3,0,1,8,7
2.689884365,-1.095095054,0.587342824,80,3,0,1,8,0
-1.099439607,-0.052539459,0.669200696,58,3,0,1,0,3
3.342837319,-1.394525822,0.273196503,22,3,0,1,0,7
2.689884365,-1.095095054,0.587342824,80,3,0,1,0,0
-2.827330726,0.492041233,0.2371414,10,3,0,2,5,3
-2.827330726,0.492041233,0.2371414,10,3,0,2,5,0
-2.827330726,0.492041233,0.2371414,10,3,0,2,0,3
-2.827330726,0.492041233,0.2371414,10,3,0,2,0,0
1.24263506,-0.91013534,0.39137573,78,3,0,3,11,7
1.24263506,-0.91013534,0.39137573,78,3,0,3,11,0
1.24263506,-0.91013534,0.39137573,78,3,0,3,0,7
1.24263506,-0.91013534,0.39137573,78,3,0,3,0,0
1.24263506,-0.91013534,0.39137573,78,3,0,0,11,7
1.24263506,-0.91013534,0.39137573,78,3,0,0,11,0
-2.827330726,0.492041233,0.2371414,10,3,0,0,5,3
-2.827330726,0.492041233,0.2371414,10,3,0,0,5,0
-1.099439607,-0.052539459,0.669200696,58,3,0,0,8,3
3.342837319,-1.394525822,0.273196503,22,3,0,0,8,7
2.689884365,-1.095095054,0.587342824,80,3,0,0,8,0
-1.019627892,-0.061725834,0.637039161,68,3,0,0,0,3
1.51381099,-0.987793827,0.369343461,100,3,0,0,0,7
1.173415093,-0.791521415,0.63231208,168,3,0,0,0,0
3.394827509,-1.407043529,0.218694204,74,0,1,1,8,1
4.886362081,-1.707806686,0.290135444,496,0,1,1,8,3
4.049397033,-1.399179565,0.297844718,70,0,1,1,8,6
