,,,,,,,,화약,,뇌관,,암석분류,,암석명,,심발공,
,,,,,,,,0,모든 폭약,0,모든 뇌관,0,모든 암석분류,0,모든 암석명,0,모든 심발
,,,,,,,,1,에멀젼C,1,비전기,1,변성암,1,규장암,1,Cylinder-cut
,,,,,,,,2,정밀폭약,2,전기,2,퇴적암,2,사암,2,TBM 선굴착
,,,,,,,,3,함수폭약,3,전자,3,화성암,3,석회암,3,V-CUT
,,,,,,,,,,,,,,4,섬록암,4,라인 드릴링
,,,,,,,,,,,,,,5,셰일,5,분착식 다단발파
,,,,,,,,,,,,,,6,안산암,6,선대구경
,,,,,,,,,,,,,,7,응회암,7,수직구
,,,,,,,,,,,,,,8,편마암,,
,,,,,,,,,,,,,,9,편암,,
,,,,,,,,,,,,,,10,화강반암,,
,,,,,,,,,,,,,,11, 화강암,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,K,n,s,exp,det,rot,roc,cen,,,,,,,,,
0,121.6408287,-1.405282014,0.022918769,모든 화약,비전기,모든 암석분류,모든 암종,TBM 선굴착,,,,,,,,,
0,108.2491057,-1.597094606,-0.015273135,모든 화약,비전기,변성암,모든 암종,TBM 선굴착,,,,,,,,,
0,154.9589371,-1.7484115,-0.055909908,모든 화약,비전기,퇴적암,모든 암종,TBM 선굴착,,,,,,,,,
0,338.1881757,-1.637708905,0.02230121,모든 화약,비전기,화성암,모든 암종,TBM 선굴착,,,,,,,,,
0,121.6408287,-1.405282014,0.022918769,모든 화약,비전기,모든 암석분류,모든 암종,TBM 선굴착,,,,,,,,,
0,267.891498,-1.597502936,-0.027293858,모든 화약,비전기,모든 암석분류,규장암,TBM 선굴착,,,,,,,,,
0,226.9629796,-1.756981847,-0.013951244,모든 화약,비전기,모든 암석분류,사암,TBM 선굴착,,,,,,,,,
0,201.08206,-1.839212241,0.000147729,모든 화약,비전기,모든 암석분류,석회암,TBM 선굴착,,,,,,,,,
0,209.7651577,-1.857837764,0.028146866,모든 화약,비전기,모든 암석분류,섬록암,TBM 선굴착,,,,,,,,,
0,219.3430405,-1.758051437,0.036608056,모든 화약,비전기,모든 암석분류,셰일,TBM 선굴착,,,,,,,,,
